source,target,strength
0xb3e405db2d56d53f690975876e5cfae76b2f8824,0x8cd1d555413c96ee834add87c2ec50cd5af015d7,4.39595413
0xe52cc6f18539947043eeae39dabf33f1451a23e9,0x605c2b6f10fb29c5ebb8dc82616e462445b89c86,9.06050355
0x41db2b1f78d5017f033bf6a1cf41e4adbb81017b,0x9cf36e93a8e2b1eaaa779d9965f46c90b820048c,37500
0x7f8fd2285c1037aad0d9d2b6fa50331a24f6fe62,0x4756eeebf378046f8dd3cb6fa908d93bfd45f139,37500
0x19d575042646736425756eb5545c60a477ce8344,0x9dafd2b0627955f9398f65324af581d44958d4d8,4.97385719
0x318539853cebb3d4a54d5e69854bbc863cdf6f37,0xe35b0ef92452c353dbb93775e0df97cedf873c72,37500
0x68cdee619222bf58f2735361e4071a5257309c03,0xf8be52f1eca326cda915a10e35953cd044e7683e,2.57866889
0x17205c65d4b027de55c96bbf1eb212c281bb66ce,0x4756eeebf378046f8dd3cb6fa908d93bfd45f139,37500
0x9780c30068c332424cc1c3abb25ca58ca83bc21e,0x9cf36e93a8e2b1eaaa779d9965f46c90b820048c,37500
0x87aa92a1bcc1f386e9da2e558d919b36956e4942,0x091933ee1088cdf5daace8baec0997a4e93f0dd6,37500
0xa98cbfa5d7708582e1ce4162d5e53fd1c75f187f,0x091933ee1088cdf5daace8baec0997a4e93f0dd6,37500
0x7af8a9f597dbf5aeba96a2eb3c73ab71bac4761a,0x554f4476825293d4ad20e02b54aca13956acc40a,37500
0x63cee5201cbb438f592e023bb9543841f1f09b68,0xf5731fcf6485525a6fadacd57ef40e4cd9d08ebe,51.28339799
0x6d35c3e8d652cf517ecaa2b9b56e7b6758d045a4,0x649387221226a9da8bc3353c96a2e2c4112ab78b,56
0x5d1f1b8570972b6e26302ac4073158ca13310540,0xa56c89db6005aa7d2ebb5d6cc8fc3ce1992bcbf4,83.5571286
0xdd7839d27a05549923f69cded80350821573ce78,0xffd164c6b538800fd3f24eb445cb65c0e6d7aef9,4.61
0x68e1eaa51b92354af2c319e13b264bf0368b6c43,0x8b83b9c4683aa4ec897c569010f09c6d04608163,37500
0xfe8c0c984c2ad1c26c08512ed1a5852ffe357743,0x2aad381f4c256f7ca980034f3a2a79e1608bfe0a,2.99979
0x152e1d8a20c3c9ef85e9cbc5d2f9b6a6a322d18f,0xa8dcc0373822b94d7f57326be24ca67bafcaad6b,37500
0x6dcf16bda997f3992b518259ca4b41c0db1c59f1,0xad8712be556e917921965e24cef06d8a5b9b713c,83.18639145
0x9740715d65ade931b5216b6888e22219d3441830,0x1ab725f6c5849b2d0e00a248cc5d02b28bcacd62,60
0x6b22f32c94f3edd8f0eedb189a1037b80453c559,0xca9cc82fd99e4347f60e3db975f68f2b9715d748,3.89012292
0x0e4d72d9d0531d6ede0e007ab332e38565f9341b,0xe35b0ef92452c353dbb93775e0df97cedf873c72,37500
0x63cee5201cbb438f592e023bb9543841f1f09b68,0x7003b48064b58b066155f2d6333a47dd86fb5934,0.91344399
0x768fe4f1da90449f3d95bcc5efa9e344bfc5614b,0x4e2a80a291c36432f801acd67ed49bde84ff23bd,100
0xa333b29e3a13bfc9d3720e21292c2456c8928096,0x1dc09454a6128182d65cd2e8478d9b445c3267d5,172
